otu_id,mean_abundance,occurrence,Kingdom,Phylum,Class,Order,Family,Genus,Species,predicted_occurrence,lower_conf_int,upper_conf_int
2749844,4.701457451810061e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Micromonospora,s__sp. 28ISP2-46,0.026978865555569165,0.007755739734247043,0.08954787859892513
277,4.701457451810061e-05,0.1,k__Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Thermales,f__Thermaceae,g__Meiothermus,s__ruber,0.026978865555569165,0.007755739734247043,0.08954787859892513
1896961,4.701457451810061e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Amycolatopsis,s__sp. AA4,0.026978865555569165,0.007755739734247043,0.08954787859892513
186817,4.701457451810061e-05,0.1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__,s__,0.026978865555569165,0.007755739734247043,0.08954787859892513
1914,4.701457451810061e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__lavendulae,0.026978865555569165,0.007755739734247043,0.08954787859892513
1842534,4.701457451810061e-05,0.1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__sp. RAC02,0.026978865555569165,0.007755739734247043,0.08954787859892513
321984,4.701457451810061e-05,0.1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia,s__plicata,0.026978865555569165,0.007755739734247043,0.08954787859892513
146919,4.701457451810061e-05,0.1,k__Bacteria,p__Bacteroidetes,c__,o__Bacteroidetes Order II. Incertae sedis,f__Rhodothermaceae,g__Salinibacter,s__ruber,0.026978865555569165,0.007755739734247043,0.08954787859892513
376174,4.701457451810061e-05,0.1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Labrys,s__neptuniae,0.026978865555569165,0.007755739734247043,0.08954787859892513
216929,4.701457451810061e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__psychrotolerans,0.026978865555569165,0.007755739734247043,0.08954787859892513
192,5.2891396332863195e-05,0.1125,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Azospirillum,s__brasilense,0.030362419327132684,0.009313548576317728,0.09444712108998965
888845,5.2891396332863195e-05,0.1,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__Minicystis,s__rosea,0.030362419327132684,0.009313548576317728,0.09444712108998965
67305,5.2891396332863195e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__hawaiiensis,0.030362419327132684,0.009313548576317728,0.09444712108998965
1690220,5.2891396332863195e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Phycicoccus,s__endophyticus,0.030362419327132684,0.009313548576317728,0.09444712108998965
